-3,-1,1,-2,-3
-5,-3,-1,-3,-4
-6,-4,-2,-4,-5
-4,-4,-2,-4,-6
-8,-5,-4,-7,-8
-8,-6,-6,-7,-8
-7,-7,-4,-7,-7
-6,-5,-3,-6,-5
-7,-7,-5,-6,-7
-9,-8,-6,-8,-9
-10,-9,-6,-8,-9
-10,-9,-6,-8,-8
-11,-10,-7,-8,-9
-10,-9,-6,-8,-8
-9,-7,-5,-6,-6
-6,-5,-3,-4,-5
-6,-4,-2,-4,-4
-6,-4,-3,-4,-5
-7,-6,-4,-5,-6
-5,-4,-3,-4,-6
-1,0,1,0,0
3,4,5,4,3
4,6,7,5,4
5,5,7,5,5
6,7,7,6,5
6,7,8,6,6
6,5,7,4,5
5,5,7,4,5
5,6,7,5,5
6,6,7,5,6
5,6,7,6,5
6,6,5,5,5
5,5,6,5,4
3,4,4,4,3
2,3,3,3,1
4,5,4,3,3
4,5,5,3,4
6,6,7,5,4
7,8,8,5,6
7,7,7,6,7
8,8,8,7,7
8,9,8,7,8
8,9,8,7,7
6,7,8,5,6
7,8,7,6,5
7,8,8,6,6
8,8,8,7,8
9,9,10,8,8
11,11,11,10,11
13,12,13,11,12
14,14,14,13,12
15,14,14,13,13
15,15,16,14,12
14,14,16,15,13
15,17,17,15,14
17,17,17,16,15
17,17,17,17,15
16,17,17,17,15
16,17,17,17,15
17,16,18,17,16
17,17,18,17,17
17,16,18,17,16
15,15,16,16,14
14,13,15,15,14
12,13,15,14,14
12,12,14,13,13
12,10,13,12,13
11,10,13,12,12
11,10,12,12,11
10,10,12,11,11
9,8,10,10,10
9,8,10,10,10
9,8,10,9,10
10,10,10,10,10
10,9,11,10,10
12,10,12,11,10
10,9,11,11,10
6,6,8,8,7
3,4,6,6,5
3,4,7,5,5
5,6,8,7,7
5,6,9,8,6
5,7,9,8,8
5,6,8,7,7
4,6,7,6,5
5,5,6,6,5
4,4,5,5,4
2,1,2,2,1
-1,-1,0,-1,-1
-3,-4,-2,-3,-4
-5,-5,-3,-4,-4
-5,-5,-5,-5,-5
-6,-6,-6,-4,-5
-4,-6,-5,-5,-5
-4,-5,-5,-6,-6
-6,-6,-5,-7,-7
-6,-6,-6,-6,-8
-6,-6,-5,-7,-8
-5,-6,-7,-7,-8
-5,-6,-7,-7,-8
-6,-6,-7,-7,-8
-6,-7,-7,-8,-9
-8,-8,-7,-10,-11
-8,-8,-8,-10,-12
-9,-9,-9,-11,-13
-10,-10,-10,-12,-14
-12,-11,-11,-13,-15
-12,-11,-12,-14,-15
-11,-10,-11,-13,-15
-10,-9,-10,-12,-14
-10,-10,-9,-12,-14
-11,-12,-11,-13,-17
-13,-14,-13,-16,-19
-12,-12,-12,-15,-18
-11,-11,-11,-14,-17
-11,-11,-11,-14,-16
-11,-12,-11,-14,-17
-11,-11,-12,-13,-16
-11,-10,-12,-13,-16
-11,-10,-12,-13,-15
-10,-10,-11,-13,-14
-9,-8,-11,-11,-13
-10,-10,-12,-12,-13
-9,-10,-13,-12,-13
-9,-10,-14,-12,-13
-10,-11,-16,-14,-13
-6,-7,-14,-11,-9
7,5,-3,1,3
14,12,5,10,11
15,13,7,11,12
17,13,7,12,14
18,15,8,13,15
18,14,8,15,16
16,12,5,12,13
4,0,-5,1,2
-11,-15,-22,-13,-14
-18,-21,-30,-21,-21
-18,-22,-31,-22,-21
-16,-22,-29,-20,-19
-13,-19,-27,-18,-16
-13,-18,-27,-16,-15
-12,-17,-26,-16,-14
-13,-17,-25,-16,-13
-11,-16,-23,-14,-12
-11,-15,-21,-14,-12
-12,-14,-21,-14,-12
-11,-15,-21,-15,-12
-12,-16,-22,-16,-14
-13,-17,-22,-17,-14
-12,-17,-21,-16,-13
-12,-16,-21,-15,-13
-11,-15,-20,-13,-12
-11,-15,-19,-13,-12
-12,-15,-19,-14,-12
-12,-15,-19,-13,-12
-10,-13,-18,-12,-10
-10,-12,-16,-11,-10
-8,-9,-14,-10,-8
-6,-7,-10,-8,-6
-6,-6,-8,-7,-5
-5,-5,-6,-6,-4
-3,-3,-4,-5,-3
-2,-2,-2,-4,-3
-2,-1,0,-3,-1
-1,-1,1,-1,0
